address1,address2,city,country,createdAt,loc.coordinates,name,priceLevel,reviewStats.community.averageScore,reviewStats.community.count,reviewStats.dave.averageScore,reviewStats.dave.count,reviewStats.dave.totalScore,state,zip,formatted_address,latitude,longitude,string_concat,dave_score_int,review_number
866 9th Ave,,New York,US,2018-05-30T16:39:12.262Z,"[-73.98568, 40.76746]",Sfila Pizza,2,7.633333333,3,7.7,1,7.7,NY,10019,"866 9th Ave, New York, NY 10019, USA",40.767519,-73.98569,Sfila Pizza | Dave - 7.7 | Community - 7.63,77,360
819 9th Ave,,New York,US,2018-03-23T17:42:19.772Z,"[-73.9872665405273, 40.7662658691406]",Sacco Pizza,1,7.765217391,23,8.1,1,8.1,NY,10019,"819 9th Ave, New York, NY 10019, USA",40.7662387,-73.9872728,Sacco Pizza | Dave - 8.1 | Community - 7.77,81,361
791 9th Ave,,New York,US,2018-03-23T17:43:03.027Z,"[-73.98805, 40.76527]",Merilu Pizza Al Metro,1,7.623076923,13,8.2,1,8.2,NY,10019,"791 9th Ave, New York, NY 10019, USA",40.7652916,-73.9880763,Merilu Pizza Al Metro | Dave - 8.2 | Community - 7.62,82,362
304 W 56th St,,New York,US,2018-05-17T14:57:09.414Z,"[-73.984023, 40.766083]",Bricco Ristorante Italiano,2,7.8,1,6.8,1,6.8,NY,10019,"304 W 56th St, New York, NY 10019, USA",40.7660301,-73.984036,Bricco Ristorante Italiano | Dave - 6.8 | Community - 7.8,68,363
696 10th Ave,,New York,US,2018-03-23T17:40:17.054Z,"[-73.9921112060547, 40.7637252807617]",New York Sal's Pizza,1,6.833333333,9,7.1,1,7.1,NY,10019,"696 10th Ave, New York, NY 10019, USA",40.763707,-73.9920697,New York Sal's Pizza | Dave - 7.1 | Community - 6.83,71,364
935 8th Ave,,New York,US,2018-03-23T17:44:56.931Z,"[-73.9836778663, 40.7655831884]",Mariella Pizza,1,5.6,3,3.7,1,3.7,NY,10019,"935 8th Ave, New York, NY 10019, USA",40.7657404,-73.9838982,Mariella Pizza | Dave - 3.7 | Community - 5.6,37,365
936 8th Ave,,New York,US,2018-03-23T17:44:54.572Z,"[-73.98342, 40.76555]",Luigi's Pizza,1,7.705555556,36,8.4,1,8.4,NY,10019,"936 8th Ave, New York, NY 10019, USA",40.7655642,-73.9834047,Luigi's Pizza | Dave - 8.4 | Community - 7.71,84,366
936 8th Ave,,New York,US,2018-06-23T00:48:55.607Z,"[-73.98342, 40.76555]",Luigi's Gourmet Grill,1,7.975,4,8.1,1,8.1,NY,10019,"936 8th Ave, New York, NY 10019, USA",40.7655642,-73.9834047,Luigi's Gourmet Grill | Dave - 8.1 | Community - 7.98,81,367
244 W 56th St,,New York,US,2018-04-16T19:58:11.433Z,"[-73.9830099, 40.76564]",Joe G Pizza & Restaurant,2,0,0,6.9,1,6.9,NY,10019,"244 W 56th St, New York, NY 10019, USA",40.7656166,-73.9830259,Joe G Pizza & Restaurant | Dave - 6.9 | Community - 0.0,69,368
370 W 51st St,,New York,US,2018-03-23T17:40:32.812Z,"[-73.9883399, 40.76394]",B Side Pizza & Wine Bar,2,6.4,1,6.3,1,6.3,NY,10019,"370 W 51st St, New York, NY 10019, USA",40.7638919,-73.9882472,B Side Pizza & Wine Bar | Dave - 6.3 | Community - 6.4,63,369
